类型,爬取日期,排名,书名,评论数,推荐数,作者,出版时间,出版社,折扣价,原价
2021年,2024/4/1,19,侦探与小偷 （以思辨的哲思方式讲述惊险刺激的侦探故事，让孩子在,237169,100%,叶永烈,2019/1/1,中译出版社（原中国对外翻译出版公司）,￥11.20,￥24.80
2021年,2024/4/1,20,万物由来科学绘本 写给孩子的科普绘本,493427,100%,项华,2020/8/1,北京联合出版有限公司,￥35.70,￥42.00
近24小时,2024/4/1,1,十八岁出门远行（余华成名作！一定要出去闯闯，哪怕鼻青脸肿！看,42,97.60%,余华,2024/3/1,江苏凤凰文艺出版社,￥29.20,￥45.00
近24小时,2024/4/1,2,人间信（麦家《人生海海》后长篇新作！命运不仅是承受，还要奋力,9,100%,麦家,2024/3/1,花城出版社,￥39.00,￥59.00
近24小时,2024/4/1,3,自信表达 : 觉醒演讲的五项修炼--从自卑小镇青年到全国演讲冠军。,5,100%,李育怀,2024/3/1,江苏凤凰文艺出版社,￥34.80,￥58.00
近24小时,2024/4/1,4,首先你要快乐，其次都是其次（快乐就是把一件小事做得热血沸腾，,,0%,林小仙,2024/2/1,中国妇女出版社,￥29.50,￥59.00
近24小时,2024/4/1,5,我们八月见（加西亚·马尔克斯逝世十周年，遗作小说全球同步首发,42,95.20%,加西亚·马尔克斯,2024/3/6,南海出版公司,￥24.80,￥39.00
近24小时,2024/4/1,6,许三观卖血记（余华温情幽默之作！一本写尽中国人“三观”的小说,3,100%,余华,2024/3/1,北京十月文艺出版社,￥40.70,￥59.00
近24小时,2024/4/1,7,迷宫饭14 完结篇（随书附赠贴纸2张）九井谅子奇幻长篇漫画,,0%,九井谅子,2024/4/5,百花文艺出版社,￥28.00,￥35.00
近24小时,2024/4/1,8,迷宫饭13（随书附赠贴纸2张）九井谅子奇幻长篇漫画,,0%,九井谅子,2024/4/5,百花文艺出版社,￥28.00,￥35.00
近24小时,2024/4/1,9,人鱼陷落4（当当专享电子屏保，限时印特签，畅销书作者麟潜口碑代,1,0%,麟潜,2024/3/1,上海文化出版社,￥30.90,￥52.80
近24小时,2024/4/1,10,少年诗词游(15册，绘本+读本+音频）经典少年游诗词曲系列，叶嘉莹,1627,100%,唐香燕,2024/2/1,北京日报出版社,￥199.50,￥399.00
近24小时,2024/4/1,11,我曾是一名饲养员 : 流浪东北的日与夜,,0%,苍海,2024/3/1,上海人民出版社,￥29.50,￥59.00
近24小时,2024/4/1,12,财商养成第一课（“华尔街神话”吉姆·罗杰斯写给女儿及所有年轻,8,100%,吉姆·罗杰斯,2024/2/20,湖南文艺出版社,￥29.00,￥58.00
近24小时,2024/4/1,13,意林合订本2024年1期-6期（总第80卷）（升级版）,,0%,意林,2024/3/1,意林杂志出版社,￥21.60,￥45.00
近24小时,2024/4/1,14,正念的奇迹：获得身心的安详和悦乐,1,100%,一行禅师,2024/1/1,河南文艺出版社,￥32.00,￥58.00
近24小时,2024/4/1,15,精神病预后档案：从遗弃中诞生（当当亲签版，“世界是一个巨大的,4,100%,穆戈,2024/4/1,湖南文艺出版社,￥31.10,￥52.80
近24小时,2024/4/1,16,假面游戏（东野圭吾2024重磅新作！你有没有天天窥探一个人的生活,22,100%,东野圭吾,2024/2/1,南海出版公司,￥26.60,￥59.00
近24小时,2024/4/1,17,狗村 惊悚悬疑 中式恐怖，连环命案、迷信、禁锢。诡异的连环命案,59,100%,陈曼奇,2024/2/1,北京联合出版有限公司,￥28.70,￥52.00
近24小时,2024/4/1,18,桥头楼上,,0%,Priest,2024/3/31,国际文化出版公司,￥39.00,￥52.80
近24小时,2024/4/1,19,超有趣的中国传统节日：文化寻宝记（为孩子精心打造的中国传统节,327,100%,我是小魔,2023/12/1,中国友谊出版公司,￥37.40,￥68.00
近24小时,2024/4/1,20,神奇的答案之书:解析版（畅销百万的《神奇的答案之书》解析版重推,24,100%,张权,2024/3/1,吉林美术出版社,￥34.20,￥58.00
近7日,2024/4/1,1,人间信（麦家《人生海海》后长篇新作！命运不仅是承受，还要奋力,9,100%,麦家,2024/3/1,花城出版社,￥39.00,￥59.00
近7日,2024/4/1,2,写给孩子的表达课（王琨老师新作，练出高情商好口才）,1,100%,王琨,2024/3/1,河北科学技术出版社,￥35.80,￥50.00
